epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,381.141,0.99201,1.40745,1.24052,0.96244,0.94828,0.98788,0.78142,0.7949,0.55004,1.08038,0.00333151,0.00333151,0.00333151
2,742.143,0.91192,0.70825,1.12536,0.95506,0.95331,0.98749,0.78315,0.8179,0.42444,1.09309,0.00653288,0.00653288,0.00653288
3,1097.49,0.94274,0.65901,1.13889,0.85707,0.87132,0.96786,0.77844,0.77978,0.61892,1.07592,0.00960225,0.00960225,0.00960225
4,1450.43,0.92816,0.62623,1.13184,0.9614,0.96316,0.98795,0.8296,0.71444,0.36557,1.0282,0.009406,0.009406,0.009406
5,1808.48,0.87978,0.55771,1.10354,0.96729,0.96541,0.99199,0.84228,0.6797,0.34007,1.00465,0.009208,0.009208,0.009208
6,2182.11,0.84372,0.51472,1.08397,0.98079,0.96239,0.99033,0.84446,0.67384,0.31501,0.9956,0.00901,0.00901,0.00901
7,2556.37,0.82722,0.49456,1.07361,0.97982,0.97786,0.99228,0.85083,0.64617,0.29768,0.98167,0.008812,0.008812,0.008812
8,2929.61,0.8077,0.47477,1.06306,0.98758,0.98584,0.99413,0.85087,0.65367,0.27921,0.98477,0.008614,0.008614,0.008614
9,3303.17,0.79624,0.46083,1.05852,0.9863,0.9867,0.99435,0.86777,0.62248,0.26526,0.96766,0.008416,0.008416,0.008416
10,3676.92,0.77957,0.44437,1.04854,0.98601,0.98285,0.99412,0.86677,0.62411,0.26563,0.96654,0.008218,0.008218,0.008218
11,4050.22,0.77257,0.43204,1.04564,0.98699,0.99281,0.99474,0.87035,0.61382,0.24959,0.95744,0.00802,0.00802,0.00802
12,4423.88,0.76189,0.42432,1.03941,0.9903,0.99247,0.99475,0.8753,0.59729,0.24084,0.95146,0.007822,0.007822,0.007822
13,4796.7,0.75309,0.41856,1.03704,0.99653,0.98945,0.99451,0.87555,0.59491,0.23573,0.94921,0.007624,0.007624,0.007624
14,5169.68,0.74967,0.41058,1.03346,0.9932,0.99407,0.99458,0.87658,0.58619,0.23183,0.94198,0.007426,0.007426,0.007426
15,5542.43,0.74294,0.40284,1.0322,0.99576,0.99466,0.99481,0.87765,0.58774,0.22754,0.94361,0.007228,0.007228,0.007228
16,5917.61,0.73761,0.40014,1.02919,0.99385,0.9946,0.9949,0.88727,0.57,0.22125,0.93553,0.00703,0.00703,0.00703
17,6291.31,0.73038,0.39519,1.02447,0.99222,0.99325,0.99468,0.88715,0.56825,0.22335,0.93426,0.006832,0.006832,0.006832
18,6664.94,0.72546,0.38772,1.02348,0.99479,0.99528,0.99485,0.89031,0.56397,0.21656,0.92991,0.006634,0.006634,0.006634
19,7039.19,0.72134,0.38369,1.01914,0.99377,0.9955,0.99484,0.88914,0.55931,0.21332,0.9272,0.006436,0.006436,0.006436
20,7413.37,0.71706,0.3807,1.01979,0.99581,0.996,0.99494,0.89028,0.55918,0.21015,0.92734,0.006238,0.006238,0.006238
21,7786.22,0.71238,0.37524,1.01655,0.99552,0.99582,0.99495,0.89188,0.55431,0.20818,0.92384,0.00604,0.00604,0.00604
22,8159.18,0.70452,0.37113,1.01195,0.9951,0.99571,0.9949,0.89302,0.55008,0.20665,0.92278,0.005842,0.005842,0.005842
23,8533.19,0.70282,0.36689,1.01041,0.99528,0.99697,0.99495,0.89476,0.54552,0.20388,0.92069,0.005644,0.005644,0.005644
24,8906.83,0.69605,0.36074,1.01013,0.99622,0.99659,0.99497,0.89467,0.54488,0.2021,0.92006,0.005446,0.005446,0.005446
25,9280.48,0.69341,0.36073,1.0088,0.99637,0.99632,0.99485,0.89371,0.54202,0.20144,0.91885,0.005248,0.005248,0.005248
26,9653.66,0.69094,0.35426,1.00484,0.99623,0.99522,0.99487,0.89323,0.54014,0.19989,0.91702,0.00505,0.00505,0.00505
27,10028.1,0.6853,0.35142,1.00254,0.99436,0.99715,0.99488,0.89541,0.53526,0.19864,0.91462,0.004852,0.004852,0.004852
28,10403.1,0.68088,0.35006,1.00149,0.99492,0.9968,0.99495,0.89589,0.53342,0.19731,0.91372,0.004654,0.004654,0.004654
29,10776.9,0.6751,0.34629,0.99998,0.9966,0.99634,0.99495,0.89556,0.53306,0.19661,0.91329,0.004456,0.004456,0.004456
30,11140.6,0.67488,0.34525,0.99958,0.99602,0.99655,0.99495,0.89737,0.53237,0.19475,0.91306,0.004258,0.004258,0.004258
31,11495.2,0.67012,0.33879,0.99638,0.99586,0.99685,0.99497,0.89758,0.53172,0.19366,0.91219,0.00406,0.00406,0.00406
32,11850,0.66426,0.3314,0.99355,0.99716,0.99647,0.99497,0.89807,0.53074,0.19281,0.91182,0.003862,0.003862,0.003862
33,12204.8,0.66117,0.33215,0.99459,0.99712,0.99637,0.99497,0.89707,0.52959,0.19197,0.91124,0.003664,0.003664,0.003664
34,12560.2,0.65915,0.32981,0.99187,0.99736,0.99677,0.99497,0.8968,0.52757,0.19135,0.91023,0.003466,0.003466,0.003466
